,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
12,Hatchback,23000,Automatic,1,Honda,2018,825000.0,Comprehensive,Petrol,5 Seats,KA,9,18.2,1199,88.7,110.0,gray,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
13,Hatchback,48928,Automatic,1,Tata,2018,595000.0,Comprehensive,Petrol,5 Seats,KA,9,23.84,1199,83.83,114.0,red,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
17,Hatchback,65376,Manual,2,Hyundai,2014,521000.0,Comprehensive,Diesel,5 Seats,KA,9,21.27,1396,88.76,219.6,blue,4,4,No,3995.0,1710.0,1505.0,2525.0,6,Power,Disc,Disc,Tubeless,5,Bangalore
18,SUV,10000,Manual,1,Tata,2022,1005000.0,Third Party insurance,Petrol,5 Seats,KA,9,17.33,1199,118.35,170.0,others,3,4,No,3993.0,1811.0,1606.0,2498.0,6,Electronic,Disc,Drum,Tubeless,5,Bangalore
21,Hatchback,18083,Manual,1,Maruti,2016,582000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
23,Hatchback,57634,Manual,2,Tata,2016,457000.0,Comprehensive,Petrol,5 Seats,KA,9,23.84,1199,84.0,114.0,silver,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
26,Hatchback,23447,Automatic,1,Hyundai,2018,570000.0,Comprehensive,Petrol,5 Seats,KA,9,20.3,1086,68.0,99.0,yellow,4,3,No,3610.0,1645.0,1560.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
27,Hatchback,30000,Manual,2,Hyundai,2009,220000.0,Third Party insurance,LPG,5 Seats,UNKNO,9,13.45,1086,62.1,96.1,others,3,4,No,3565.0,1525.0,1590.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
33,Sedan,50000,Manual,1,Hyundai,2018,674000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,20.14,1197,81.86,113.75,others,4,4,No,3995.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
34,Hatchback,12434,Manual,1,Maruti,2015,349000.0,Comprehensive,Petrol,5 Seats,WB,9,20.51,998,67.04,90.0,brown,3,4,No,3599.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
37,Hatchback,40987,Manual,2,Maruti,2015,405999.0,Comprehensive,Petrol,5 Seats,KA,9,20.51,998,67.04,90.0,white,3,4,No,3599.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
41,Hatchback,89667,Manual,1,Hyundai,2016,594000.0,Comprehensive,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,white,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
42,Hatchback,120000,Manual,1,Hyundai,2017,710000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.54,1396,88.73,219.7,others,4,4,Yes,3985.0,1734.0,1505.0,2570.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
43,Hatchback,56997,Manual,1,Maruti,2017,692000.0,Zero Dep,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,blue,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
46,Hatchback,18835,Manual,1,Maruti,2021,411000.0,Zero Dep,Petrol,5 Seats,KA,9,22.05,796,47.33,69.0,silver,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
49,Hatchback,60932,Manual,1,Tata,2019,610000.0,Comprehensive,Petrol,5 Seats,KA,9,23.84,1199,83.83,114.0,red,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
51,Hatchback,66837,Manual,2,Tata,2018,530000.0,Comprehensive,Petrol,5 Seats,KA,9,23.84,1199,84.0,114.0,brown,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
54,Hatchback,44285,Manual,1,Hyundai,2019,715000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.6,1197,81.86,117.0,gray,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
57,Hatchback,36735,Manual,1,Hyundai,2018,625000.0,Comprehensive,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,blue,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
60,Hatchback,10000,Automatic,1,Renault,2022,550000.0,Third Party insurance,Petrol,5 Seats,KA,9,22.0,999,67.0,91.0,others,3,4,No,3731.0,1579.0,1474.0,2422.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
62,Hatchback,100000,Manual,2,Hyundai,2006,220000.0,Third Party insurance,Petrol,5 Seats,KA,9,15.3,1341,83.0,115.0,others,4,3,No,3810.0,1665.0,1515.0,2455.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
63,Hatchback,53982,Automatic,1,Maruti,2014,428000.0,Comprehensive,Petrol,5 Seats,KA,8,26.68,998,65.71,89.0,others,3,4,No,3695.0,1655.0,1555.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
65,SUV,37741,Manual,2,Ford,2019,930000.0,Third Party insurance,Petrol,5 Seats,KA,9,15.9,1496,120.69,149.0,white,3,4,No,3998.0,1765.0,1647.0,2519.0,5,Electronic,Disc,Drum,Tubeless,4,Bangalore
66,Hatchback,17367,Manual,1,Maruti,2021,455000.0,Comprehensive,Petrol,5 Seats,KA,9,22.05,796,47.33,69.0,silver,3,4,No,3445.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
69,Hatchback,54601,Manual,3,Maruti,2014,442000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,white,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
71,Hatchback,64000,Manual,2,Maruti,2017,500000.0,Third Party insurance,Petrol,5 Seats,KA,9,23.1,998,67.04,90.0,red,3,4,No,3715.0,1635.0,1565.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
74,Hatchback,44154,Automatic,2,Honda,2016,537000.0,Comprehensive,Petrol,5 Seats,KA,9,19.0,1199,88.7,110.0,white,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
77,Hatchback,68039,Manual,2,Tata,2017,468000.0,Third Party insurance,Petrol,5 Seats,KA,9,23.84,1199,84.0,114.0,orange,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
78,Hatchback,60000,Manual,2,Maruti,2014,420000.0,Third Party insurance,Petrol,5 Seats,KA,8,18.5,1197,85.8,114.0,silver,4,4,No,3775.0,1680.0,1620.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
79,Hatchback,60000,Manual,2,Maruti,2014,420000.0,Third Party insurance,Petrol,5 Seats,KA,8,18.5,1197,85.8,114.0,silver,4,4,No,3775.0,1680.0,1620.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
80,Hatchback,10000,Manual,1,Hyundai,2021,919999.0,Third Party insurance,Petrol,5 Seats,KA,9,20.0,998,118.36,171.62,others,3,4,Yes,3995.0,1775.0,1505.0,2580.0,6,Electronic,Disc,Drum,Tubeless,5,Bangalore
82,Hatchback,90000,Automatic,3,Volkswagen,2013,850000.0,Third Party insurance,Petrol,5 Seats,KA,9,17.2,1197,103.6,175.0,others,4,4,Yes,3970.0,1682.0,1453.0,2456.0,7,Power,Disc,Drum,Tubeless,5,Bangalore
84,Hatchback,70000,Manual,2,Hyundai,2014,388000.0,Third Party insurance,Diesel,5 Seats,KA,8,24.0,1120,70.0,160.0,others,3,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
85,Hatchback,68000,Manual,2,Hyundai,2013,490000.0,Comprehensive,Petrol,5 Seats,KA,9,18.5,1197,82.85,113.7,silver,4,4,No,3995.0,1710.0,1505.0,2525.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
86,SUV,23017,Manual,1,Mahindra,2016,494000.0,Third Party insurance,Diesel,6 Seats,KA,9,25.32,1198,77.0,190.0,orange,3,4,Yes,3675.0,1715.0,1655.0,2385.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
87,Hatchback,83000,Manual,2,Hyundai,2013,525000.0,Comprehensive,Diesel,5 Seats,KA,9,21.27,1396,88.76,219.6,brown,4,4,No,3995.0,1710.0,1505.0,2525.0,6,Power,Disc,Disc,Tubeless,5,Bangalore
90,Hatchback,74000,Manual,1,Hyundai,2013,365000.0,Comprehensive,LPG,5 Seats,KA,8,19.2,1086,68.05,99.04,gray,4,3,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
91,Hatchback,26500,Automatic,2,Renault,2016,420000.0,Comprehensive,Petrol,5 Seats,KA,9,24.04,999,67.0,91.0,red,3,4,No,3679.0,1579.0,1478.0,2422.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
94,SUV,10000,Automatic,1,Mahindra,2022,1050000.0,Third Party insurance,Petrol,5 Seats,KA,9,17.0,1197,108.6,200.0,white,3,4,Yes,3995.0,1821.0,1627.0,2600.0,6,Power,Disc,Disc,Tubeless,5,Bangalore
96,Hatchback,38197,Manual,1,Honda,2013,394000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.4,1198,86.8,109.0,others,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
