,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Seats,RTO,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
713,Hatchback,94221,Manual,2,Hyundai,2014,383000.0,Comprehensive,Petrol,5 Seats,KA,9,18.9,1197,82.0,114.0,red,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
714,Hatchback,93975,Manual,1,Hyundai,2017,605000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,white,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
715,SUV,30000,Manual,1,Mahindra,2019,985000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,16.82,1197,108.62,200.0,red,3,4,Yes,3995.0,1821.0,1627.0,2600.0,6,Power,Disc,Disc,Tubeless,5,Bangalore
716,Hatchback,30155,Manual,2,Volkswagen,2020,935000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.24,999,108.62,175.0,gray,3,4,Yes,3971.0,1682.0,1469.0,2470.0,6,Electronic,Disc,Drum,Tubeless,5,Bangalore
717,Hatchback,59006,Manual,2,Volkswagen,2016,675000.0,Third Party insurance,Petrol,5 Seats,KA,9,16.47,1198,74.0,110.0,white,3,4,No,3971.0,1682.0,1469.0,2469.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
718,Hatchback,100000,Manual,4,Maruti,2004,135000.0,Third Party insurance,Petrol,5 Seats,KA,5,17.3,993,60.0,78.0,silver,4,4,No,3535.0,1495.0,1405.0,2335.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
719,SUV,18570,Automatic,1,Tata,2022,1345000.0,Third Party insurance,Petrol,5 Seats,KA,9,16.35,1199,118.36,170.0,white,3,4,Yes,3993.0,1811.0,1606.0,2498.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
722,Hatchback,61263,Manual,1,Maruti,2016,734000.0,Third Party insurance,Diesel,5 Seats,KA,9,27.39,1248,74.0,190.0,red,4,4,Yes,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
723,SUV,65507,Manual,2,Honda,2017,701000.0,Third Party insurance,Petrol,5 Seats,KA,9,17.5,1199,88.7,110.0,white,4,4,No,3999.0,1734.0,1601.0,2555.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
725,SUV,26158,Manual,1,Honda,2017,789000.0,Comprehensive,Petrol,5 Seats,KA,9,17.5,1199,88.7,110.0,silver,4,4,No,3999.0,1734.0,1601.0,2555.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
726,Hatchback,35250,Manual,1,Maruti,2015,548000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,white,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
728,Hatchback,40304,Manual,2,Maruti,2015,476999.0,Comprehensive,Petrol,5 Seats,KA,9,25.24,998,65.71,89.0,others,3,4,No,3695.0,1655.0,1555.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
730,Hatchback,56661,Manual,1,Maruti,2014,515000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
731,Hatchback,90213,Manual,2,Hyundai,2016,562000.0,Comprehensive,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,silver,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
732,Sedan,70000,Manual,3,Volkswagen,2010,345000.0,Third Party insurance,Petrol,5 Seats,KA,9,15.04,1598,103.6,153.0,others,4,4,No,4384.0,1699.0,1466.0,2552.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
734,SUV,10000,Manual,2,Nissan,2021,670000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.75,999,71.02,96.0,others,3,4,No,3994.0,1758.0,1572.0,2500.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
735,Hatchback,20739,Automatic,1,Honda,2021,950000.0,Comprehensive,Petrol,5 Seats,KA,9,17.1,1199,88.5,110.0,brown,4,4,No,3989.0,1694.0,1544.0,2530.0,7,Electronic,Disc,Drum,Tubeless,5,Bangalore
736,Hatchback,20000,Manual,2,Hyundai,2020,700000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.6,1197,81.86,117.0,others,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
737,Sedan,70000,Manual,1,Opel,2004,80000.0,Third Party insurance,Petrol,5 Seats,MH,9,14.2,1389,88.0,110.0,silver,4,4,No,4056.0,1608.0,1420.0,2443.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
741,Hatchback,70000,Manual,1,Hyundai,2015,550000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.54,1396,88.73,219.7,others,4,4,Yes,3985.0,1734.0,1505.0,2570.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
742,Hatchback,47127,Manual,2,Hyundai,2015,581000.0,Comprehensive,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,silver,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
743,Hatchback,47038,Manual,1,Maruti,2017,582000.0,Comprehensive,Petrol,5 Seats,KA,9,20.4,1197,81.8,113.0,others,4,4,No,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
745,Hatchback,40769,Manual,1,Hyundai,2018,531000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,blue,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
746,Hatchback,34757,Manual,1,Hyundai,2017,558000.0,Comprehensive,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,orange,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
747,Hatchback,100000,Manual,3,Hyundai,2006,155000.0,Third Party insurance,Petrol,5 Seats,KA,4,17.0,1086,81.8,113.0,others,4,4,No,3995.0,1695.0,1505.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
748,Hatchback,88119,Automatic,2,Hyundai,2016,508000.0,Comprehensive,Petrol,5 Seats,KA,9,18.9,1197,82.0,114.0,blue,4,4,No,3765.0,1660.0,1520.0,2425.0,4,Power,Disc,Drum,Tubeless,5,Bangalore
750,Hatchback,57176,Manual,1,Hyundai,2017,542000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,orange,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
751,Hatchback,62223,Manual,2,Maruti,2015,501000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
755,Hatchback,20000,Manual,3,Hyundai,2010,300000.0,Third Party insurance,Petrol,5 Seats,KA,8,20.36,1197,78.9,111.7,red,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
758,Sedan,80000,Manual,2,Ford,2004,55000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,14.2,1597,92.0,130.0,silver,4,2,No,4140.0,1634.0,1379.0,2486.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
759,Hatchback,40000,Automatic,1,Hyundai,2018,630000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.9,1197,81.86,113.75,red,4,4,No,3765.0,1660.0,1520.0,2425.0,4,Power,Disc,Drum,Tubeless,5,Bangalore
761,Hatchback,67444,Manual,1,Hyundai,2012,417000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.5,1197,82.85,113.7,others,4,4,No,3995.0,1710.0,1505.0,2525.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
762,Hatchback,63837,Automatic,2,Maruti,2016,631000.0,Comprehensive,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,red,4,4,No,3995.0,1745.0,1510.0,2520.0,0,Power,Disc,Drum,Tubeless,5,Bangalore
764,Hatchback,60777,Manual,1,Maruti,2016,544000.0,Third Party insurance,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
765,Hatchback,39248,Manual,2,Maruti,2016,704000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,blue,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
767,Hatchback,96198,Manual,1,Honda,2015,359000.0,Comprehensive,Petrol,5 Seats,KA,9,19.4,1198,86.8,109.0,white,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
769,Hatchback,81207,Manual,3,Maruti,2015,335000.0,Comprehensive,Petrol,5 Seats,KA,9,20.51,998,67.04,90.0,brown,3,4,No,3599.0,1495.0,1700.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
770,Hatchback,48148,Manual,1,Maruti,2021,766000.0,Third Party insurance,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
771,Hatchback,120000,Manual,1,Maruti,2015,350000.0,Third Party insurance,Petrol,5 Seats,UNKNO,8,23.1,998,67.04,90.0,others,3,4,No,3715.0,1635.0,1565.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
772,Sedan,90000,Manual,3,Tata,2018,480000.0,Third Party insurance,Diesel,5 Seats,KA,9,20.65,1248,88.7,190.0,white,4,4,Yes,3995.0,1706.0,1570.0,2470.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
780,Hatchback,60000,Manual,2,Maruti,2014,260000.0,Third Party insurance,Petrol,5 Seats,KA,8,22.74,796,47.3,69.0,others,3,4,No,3395.0,1490.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
781,Hatchback,67245,Manual,1,Maruti,2015,539000.0,Comprehensive,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
785,Hatchback,53606,Manual,1,Hyundai,2015,636000.0,Zero Dep,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,red,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
787,Hatchback,44253,Manual,2,Maruti,2016,615000.0,Comprehensive,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,blue,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
789,Hatchback,34702,Manual,1,Tata,2021,718000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.01,1199,84.82,113.0,red,3,4,No,3765.0,1677.0,1535.0,2400.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
790,Hatchback,42762,Manual,1,Maruti,2012,436000.0,Third Party insurance,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
791,Hatchback,50000,Manual,2,Maruti,2015,280000.0,Third Party insurance,Petrol,5 Seats,UNKNO,8,23.95,998,67.05,90.0,others,3,4,No,3545.0,1515.0,1475.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
792,MUV,30000,Automatic,1,Renault,2022,780000.0,Third Party insurance,Petrol,7 Seats,KA,9,18.2,999,71.01,96.0,others,3,4,No,3991.0,1739.0,1643.0,2425.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
797,Sedan,40000,Manual,1,Maruti,2020,670000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.21,1197,81.8,113.0,others,4,4,No,3995.0,1735.0,1515.0,2450.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
798,Hatchback,10000,Manual,1,Maruti,2020,900000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.01,1197,81.8,113.0,others,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
799,Hatchback,60000,Manual,1,Maruti,2016,600000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,others,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
800,Hatchback,110000,Manual,4,Chevrolet,2008,110000.0,Third Party insurance,Petrol,5 Seats,KA,8,18.0,995,62.0,90.3,silver,4,2,No,3495.0,1495.0,1518.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
801,Hatchback,57459,Manual,1,Hyundai,2016,605000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.6,1197,81.83,114.7,red,4,4,No,3985.0,1734.0,1505.0,2570.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
802,Hatchback,70381,Manual,1,Hyundai,2017,559000.0,Zero Dep,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,red,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
803,Hatchback,90000,Manual,3,Volkswagen,2012,268000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.07,1199,73.9,180.0,black,3,4,No,3970.0,1682.0,1453.0,2456.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
805,SUV,81853,Manual,2,Hyundai,2016,864000.0,Comprehensive,Petrol,5 Seats,KA,9,13.0,1591,121.3,151.0,white,4,4,No,4270.0,1780.0,1630.0,2590.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
806,Hatchback,40000,Manual,1,Hyundai,2009,240000.0,Third Party insurance,Petrol,5 Seats,KA,9,17.92,1086,62.1,96.1,others,3,4,No,3565.0,1525.0,1590.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
807,Hatchback,90802,Manual,1,Honda,2012,341000.0,Comprehensive,Petrol,5 Seats,KA,9,19.4,1198,86.8,109.0,red,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
808,Hatchback,40000,Manual,1,Hyundai,2009,240000.0,Third Party insurance,Petrol,5 Seats,KA,9,17.92,1086,62.1,96.1,others,3,4,No,3565.0,1525.0,1590.0,2380.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
809,Hatchback,16502,Manual,1,Hyundai,2021,513000.0,Zero Dep,Petrol,5 Seats,KA,9,20.3,1086,68.05,99.0,white,4,3,No,3610.0,1645.0,1560.0,2400.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
810,Hatchback,31530,Manual,1,Maruti,2021,661000.0,Third Party insurance,Petrol,5 Seats,KA,9,20.89,1197,81.8,113.0,silver,4,4,No,3700.0,1690.0,1595.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
812,Hatchback,80000,Manual,2,Maruti,2015,520000.0,Third Party insurance,Diesel,5 Seats,KA,9,25.2,1248,74.0,190.0,others,4,4,Yes,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
814,Hatchback,110000,Manual,2,Maruti,2011,300000.0,Third Party insurance,Diesel,5 Seats,UNKNO,8,21.1,1248,73.9,113.0,others,4,4,No,3715.0,1680.0,1620.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
816,Hatchback,18000,Automatic,1,Hyundai,2021,1295000.0,Comprehensive,Petrol,5 Seats,KA,9,20.25,998,118.41,172.0,white,3,4,Yes,3995.0,1775.0,1505.0,2580.0,7,Electronic,Disc,Disc,Tubeless,5,Bangalore
819,Hatchback,70000,Manual,2,Hyundai,2011,275000.0,Third Party insurance,Petrol,5 Seats,KA,9,20.36,1197,78.9,111.8,others,4,4,No,3585.0,1595.0,1550.0,2380.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
820,Hatchback,25000,Automatic,4,Honda,2016,575000.0,Comprehensive,Petrol,5 Seats,KA,9,19.0,1199,88.7,110.0,silver,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
821,Hatchback,69210,Manual,1,Honda,2012,338000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.4,1198,86.8,109.0,silver,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
822,Hatchback,71165,Manual,2,Honda,2018,604000.0,Comprehensive,Petrol,5 Seats,KA,9,18.7,1199,88.7,110.0,red,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
824,Sedan,86543,Manual,3,Maruti,2010,327000.0,Third Party insurance,Diesel,5 Seats,KA,9,19.3,1248,73.9,190.0,black,4,4,Yes,4160.0,1690.0,1530.0,2390.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
825,Hatchback,67225,Automatic,1,Maruti,2016,621000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,others,4,4,No,3995.0,1745.0,1510.0,2520.0,0,Power,Disc,Drum,Tubeless,5,Bangalore
826,Hatchback,100000,Manual,3,Tata,2017,240000.0,Third Party insurance,Diesel,5 Seats,KA,8,25.0,1396,69.0,140.0,silver,4,4,Yes,3690.0,1665.0,1485.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
827,Hatchback,16247,Manual,1,Hyundai,2018,621000.0,Zero Dep,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,silver,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
829,Hatchback,39481,Automatic,2,Maruti,2017,708000.0,Zero Dep,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,white,4,4,No,3995.0,1745.0,1510.0,2520.0,0,Power,Disc,Drum,Tubeless,5,Bangalore
830,Hatchback,61227,Manual,2,Maruti,2018,443000.0,Third Party insurance,Petrol,5 Seats,KA,8,25.24,998,65.71,89.0,blue,3,4,No,3695.0,1655.0,1555.0,2435.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
835,Sedan,60000,Manual,2,Volkswagen,2016,520000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,17.0,1198,73.75,110.0,others,3,4,No,3995.0,1682.0,1483.0,2470.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
836,Hatchback,40000,Manual,2,Tata,2018,470000.0,Third Party insurance,Petrol,5 Seats,KA,9,23.84,1199,84.0,114.0,others,3,4,No,3746.0,1647.0,1535.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
840,Sedan,110000,Manual,2,Opel,2003,75000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,13.8,1589,93.0,126.0,silver,4,4,No,4056.0,1608.0,1420.0,2443.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
841,Hatchback,63359,Manual,2,Maruti,2017,649000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,blue,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
842,Hatchback,125227,Manual,2,Hyundai,2017,657000.0,Zero Dep,Diesel,5 Seats,KA,9,22.54,1396,88.73,219.7,red,4,4,Yes,3985.0,1734.0,1505.0,2570.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
843,Hatchback,100000,Manual,2,Volkswagen,2012,420000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.07,1199,73.9,180.0,others,3,4,No,3970.0,1682.0,1453.0,2456.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
844,Hatchback,71884,Manual,2,Maruti,2015,629000.0,Third Party insurance,Diesel,5 Seats,KA,9,25.2,1248,74.0,190.0,silver,4,4,Yes,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
845,Hatchback,79059,Manual,2,Honda,2012,322000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.4,1198,86.8,109.0,brown,4,4,No,3610.0,1680.0,1500.0,2345.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
846,Hatchback,80000,Manual,2,Maruti,2016,620000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,others,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
847,Hatchback,69124,Manual,1,Maruti,2013,434999.0,Third Party insurance,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,silver,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
849,Hatchback,73340,Manual,1,Maruti,2010,317000.0,Comprehensive,Petrol,5 Seats,KA,8,18.5,1197,85.8,114.0,blue,4,4,No,3775.0,1680.0,1620.0,2360.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
850,Hatchback,44268,Manual,2,Hyundai,2017,574000.0,Comprehensive,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,silver,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
851,Hatchback,10000,Manual,1,Citroen,2022,780000.0,Third Party insurance,Petrol,5 Seats,KA,9,19.3,1198,80.46,115.0,gray,3,4,No,3981.0,1733.0,1586.0,2540.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
852,Hatchback,60000,Manual,1,Honda,2018,800000.0,Third Party insurance,Petrol,5 Seats,KA,9,18.7,1199,88.7,110.0,others,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
857,Sedan,120000,Manual,2,Maruti,2009,350000.0,Third Party insurance,Diesel,5 Seats,KA,9,19.3,1248,73.9,190.0,others,4,4,Yes,4160.0,1690.0,1530.0,2390.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
859,Sedan,20000,Automatic,2,Honda,2020,830000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,18.3,1199,88.76,110.0,others,4,4,No,3995.0,1695.0,1501.0,2470.0,0,Electronic,Disc,Drum,Tubeless,4,Bangalore
863,Sedan,120000,Manual,4,Opel,2004,65000.0,Third Party insurance,Petrol,5 Seats,KA,9,14.2,1389,88.0,110.0,black,4,4,No,4056.0,1608.0,1420.0,2443.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
864,Hatchback,69199,Manual,2,Hyundai,2019,547000.0,Zero Dep,Petrol,5 Seats,KA,9,18.9,1197,81.86,113.75,red,4,4,No,3765.0,1660.0,1520.0,2425.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
865,Hatchback,78249,Manual,3,Maruti,2012,413000.0,Third Party insurance,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,red,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
867,Hatchback,29905,Manual,1,Maruti,2021,709000.0,Zero Dep,Petrol,5 Seats,KA,9,22.38,1197,88.5,113.0,others,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
869,Hatchback,60442,Manual,2,Honda,2017,528000.0,Comprehensive,Petrol,5 Seats,KA,9,18.7,1199,88.7,110.0,brown,4,4,No,3955.0,1694.0,1544.0,2530.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
873,Hatchback,30000,Automatic,1,Maruti,2021,800000.0,Third Party insurance,Petrol,5 Seats,KL,9,21.21,1197,81.8,113.0,others,4,4,No,3840.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
874,Sedan,44000,Manual,1,Ford,2017,550000.0,Comprehensive,Petrol,5 Seats,KA,9,18.16,1196,86.8,112.0,gray,4,4,Yes,3995.0,1695.0,1525.0,2491.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
876,Hatchback,120000,Manual,1,Tata,2012,130000.0,Third Party insurance,Diesel,5 Seats,KA,8,25.0,1396,69.0,140.0,silver,4,4,Yes,3690.0,1665.0,1485.0,2400.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
878,Sedan,40000,Manual,1,Maruti,2020,650000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.21,1197,81.8,113.0,others,4,4,No,3995.0,1735.0,1515.0,2450.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
881,Hatchback,79415,Manual,1,Maruti,2016,609000.0,Zero Dep,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,blue,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
882,Sedan,88411,Automatic,1,Maruti,2017,678000.0,Zero Dep,Diesel,5 Seats,KA,9,26.59,1248,74.0,190.0,red,4,4,Yes,3995.0,1695.0,1555.0,2430.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
884,Hatchback,106516,Manual,1,Maruti,2012,449000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.9,1248,74.0,190.0,others,4,4,Yes,3850.0,1695.0,1530.0,2430.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
885,Hatchback,88509,Manual,2,Maruti,2015,552000.0,Comprehensive,Diesel,5 Seats,KA,9,25.2,1248,74.0,190.0,red,4,4,Yes,3840.0,1735.0,1530.0,2450.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
887,Sedan,80000,Manual,2,Ford,2004,56000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,14.2,1597,92.0,130.0,silver,4,2,No,4140.0,1634.0,1379.0,2486.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
888,Hatchback,44437,Manual,1,Maruti,2013,426000.0,Comprehensive,Petrol,5 Seats,KA,8,22.38,1197,88.5,113.0,others,4,4,No,3845.0,1735.0,1530.0,2450.0,5,Electronic,Disc,Drum,Tubeless,5,Bangalore
889,Hatchback,83731,Manual,2,Hyundai,2015,607000.0,Third Party insurance,Diesel,5 Seats,KA,9,22.54,1396,88.73,219.7,others,4,4,Yes,3985.0,1734.0,1505.0,2570.0,6,Power,Disc,Drum,Tubeless,5,Bangalore
890,Sedan,80000,Manual,2,Ford,2004,56000.0,Third Party insurance,Petrol,5 Seats,UNKNO,9,14.2,1597,92.0,130.0,silver,4,2,No,4140.0,1634.0,1379.0,2486.0,5,Power,Disc,Drum,Tubeless,4,Bangalore
893,Hatchback,110000,Manual,3,Ford,2012,240000.0,Third Party insurance,Diesel,5 Seats,KA,9,20.0,1399,68.05,160.0,others,4,2,Yes,3795.0,1680.0,1427.0,2489.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
894,Hatchback,30000,Automatic,1,Maruti,2022,680000.0,Third Party insurance,Petrol,5 Seats,KA,9,20.52,1197,81.8,113.0,others,4,4,No,3655.0,1620.0,1675.0,2435.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
897,Hatchback,80000,Manual,1,Maruti,2018,720000.0,Third Party insurance,Petrol,5 Seats,KA,9,21.4,1197,83.1,115.0,others,4,4,No,3995.0,1745.0,1510.0,2520.0,5,Power,Disc,Drum,Tubeless,5,Bangalore
