,bt,km,transmission,ownerNo,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Transmission,Features,Comfort & Convenience,Safety,Mileage,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,City,RPM_BHP,Power_RTO
3473,2.0,30000,1,1,157,2021,3969,175,700000.0,2.0,4,1,9,10,13,21.4,115.0,138,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1505.0,1515.0,880.0,1340.0,5,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,16.0,2,4083.1,6069.0
3474,7.0,47000,0,1,107,2021,7116,1188,1300000.0,2.0,1,0,9,10,13,17.8,178.9265066,116,91.0,1493.0,4.0,4.0,3.0,6.0,51.37463617,12.45229249,5.0,1.0,4315.0,1800.0,1645.0,2610,1478.635627,1479.284494,1495.0,1670.523356,6-,1.0,5.0,1.0,5.01860252,5.0,2.0,174.018972,11.8,26.0,5.0,433.0,15.66402379,2,2863.42,4126.0
3476,2.0,35854,0,2,157,2020,5920,82,805000.0,5.0,4,0,9,10,13,21.4,115.0,116,455.0,1197.0,4.0,4.0,3.0,49.0,51.37463617,12.45229249,1.0,1.0,3995.0,1745.0,1510.0,2520,1515.0,1525.0,935.0,1360.0,CVT,12.0,5.0,6.0,4.9,5.0,7.0,174.018972,12.79590584,26.0,5.0,339.0,16.0,2,4083.1,6069.0
3477,7.0,43623,1,1,265,2018,5994,131,735000.0,5.0,4,1,9,10,13,17.0,170.0,110,354.0,1198.0,3.0,4.0,3.0,49.0,92.0,12.45229249,5.0,1.0,3994.0,1811.0,1607.0,2498,1540.0,1530.0,1211.483843,1670.523356,6,12.0,5.0,6.0,5.01860252,5.0,7.0,154.19,11.64,16.0,5.0,350.0,16.0,2,4108.5,5108.0
3478,8.0,64229,1,2,282,2015,2176,1742,441000.0,2.0,4,1,9,10,13,16.78,132.0,84,344.0,1496.0,4.0,4.0,3.0,30.0,51.37463617,12.45229249,1.0,1.0,4265.0,1695.0,1510.0,2550,1478.635627,1479.284494,945.0,1670.523356,5,12.0,5.0,6.0,5.01860252,23.0,7.0,174.018972,10.6,13.0,4.0,595.0,15.66402379,2,3088.73,5647.0
3480,7.0,59605,0,2,51,2019,916,653,2890000.0,2.0,1,0,9,10,13,10.91,470.0,116,236.0,3198.0,4.0,4.0,3.0,72.0,51.37463617,12.45229249,5.0,1.0,4892.0,1860.0,1837.0,2850,1475.0,1470.0,1879.0,1670.523356,6,4.0,7.0,6.0,5.01860252,5.0,2.0,160.2,10.86,26.0,5.0,402.7427254,18.0,2,2601.893989,3375.0
3481,2.0,2997,1,1,238,2019,5375,28,397000.0,2.0,4,1,9,10,13,23.01,91.0,116,344.0,999.0,3.0,4.0,3.0,53.0,51.37463617,12.45229249,1.0,1.0,3679.0,1579.0,1478.0,2422,1478.635627,1479.284494,730.0,1670.523356,5,12.0,5.0,6.0,5.01860252,5.0,7.0,155.8,13.9,26.0,5.0,300.0,15.66402379,2,4351.893989,5571.0
3482,2.0,9606,1,1,238,2021,7431,26,455000.0,5.0,4,1,9,10,13,21.74,91.0,9,344.0,999.0,3.0,4.0,3.0,53.0,51.37463617,12.45229249,1.0,1.0,3731.0,1579.0,1474.0,2422,1478.635627,1479.284494,730.0,1670.523356,5,12.0,5.0,1.0,5.01860252,5.0,7.0,174.018972,12.79590584,26.0,5.0,279.0,15.66402379,2,4351.893989,5611.0
3483,8.0,75000,0,1,211,2015,4712,1488,3850000.0,2.0,1,0,9,10,13,13.5,620.0,138,432.0,2987.0,6.0,4.0,3.0,23.0,51.37463617,15.8,5.0,1.0,5246.0,2130.0,1494.0,3165,1624.0,1637.0,2132.0,2690.0,7,16.0,5.0,6.0,5.01860252,5.0,2.0,250.0,6.8,26.0,4.0,530.0,18.0,2,2654.79,3719.0
3484,8.0,41898,0,2,59,2020,6421,1752,713000.0,5.0,4,0,9,10,13,19.0,110.0,138,476.0,1199.0,4.0,4.0,8.0,53.0,51.37463617,12.45229249,1.0,1.0,3995.0,1695.0,1501.0,2470,1478.635627,1479.284494,945.0,1670.523356,CVT,12.0,5.0,6.0,5.01860252,5.0,7.0,174.018972,15.0,26.0,4.0,420.0,15.66402379,2,4888.76,6048.0
